fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-12-31,USD,1929845000000,142410000000,203361000000,203361000000,None,23028000000,1787435000000,None,None,7779000000,7779000000,25167000000,None,480781000000,-60951000000,None,None,1748779000000,78756000000,None,None,None,None,1670023000000,16000000,173062000000,13571000000,None,186649000000,78756000000,None,179120000000,None,214198000000,9136000000,3467600000
2023-12-31,USD,1932468000000,370183000000,237219000000,237219000000,-524614000000,53724000000,1616009000000,None,None,8508000000,8508000000,25175000000,None,480202000000,125393000000,470890000000,None,1745025000000,972305000000,None,None,None,11883000000,690353000000,19000000,207569000000,11883000000,None,219471000000,960422000000,None,185735000000,None,201136000000,9136000000,3720400000
2022-12-31,USD,1881016000000,287659000000,159157000000,159157000000,-369987000000,14908000000,605225000000,8350000000,None,10480000000,10480000000,25173000000,None,116033000000,113594000000,369987000000,None,1699141000000,51145000000,69056000000,None,None,51145000000,51145000000,22000000,194955000000,51145000000,None,246100000000,-51145000000,None,179889000000,-82853000000,187649000000,9136000000,3837000000
2021-12-31,USD,1948068000000,426333000000,234230000000,234230000000,-440907000000,14859000000,652357000000,8571000000,None,8189000000,8189000000,25180000000,None,1193508000000,177244000000,440907000000,None,1757958000000,34409000000,70957000000,None,None,34409000000,163476000000,26000000,170113000000,34409000000,None,204522000000,-34409000000,None,187606000000,-79757000000,180322000000,9136000000,4096200000
2020-12-31,USD,1952911000000,501091000000,264612000000,264612000000,-471575000000,16087000000,2185042000000,20601000000,None,7437000000,7437000000,26392000000,None,563467000000,220392000000,471575000000,None,1767199000000,77345000000,1404381000000,None,None,12637000000,1702491000000,28000000,212950000000,58999000000,None,225587000000,-12637000000,None,184680000000,-67791000000,162683000000,9136000000,4134200000
2019-12-31,USD,1927555000000,424540000000,141250000000,141250000000,-385842000000,19831000000,614012000000,9309000000,None,12947000000,12947000000,26390000000,None,952714000000,263459000000,385842000000,None,1739571000000,104512000000,75163000000,None,None,104512000000,228191000000,32000000,237270000000,12109000000,None,341782000000,-104512000000,None,187146000000,-68831000000,166697000000,9136000000,4425400000
2018-12-31,USD,1895883000000,238408000000,173287000000,173287000000,-343641000000,19696000000,600848000000,8920000000,None,16092000000,16092000000,26418000000,None,1453920000000,269912000000,384006000000,None,1698817000000,13357000000,69317000000,None,None,105787000000,229044000000,36000000,237543000000,13357000000,None,343330000000,-92430000000,None,196166000000,-47194000000,158163000000,9136000000,4838400000
2017-12-31,USD,1951757000000,90557000000,215947000000,215947000000,-433935000000,64200000000,598890000000,8847000000,None,16659000000,16659000000,26587000000,None,1117399000000,277085000000,433935000000,None,1743678000000,14572000000,70615000000,None,None,14572000000,225020000000,39000000,233816000000,14572000000,None,248388000000,-14572000000,None,206936000000,-29892000000,145263000000,9136000000,5017300000
2016-12-31,USD,1930115000000,46436000000,20729000000,20729000000,-398733000000,19289000000,531735000000,8333000000,None,14365000000,14365000000,26693000000,None,1096575000000,308364000000,398733000000,None,1729618000000,96781000000,57189000000,None,None,96781000000,255077000000,7000000,269569000000,18657000000,None,366350000000,-96781000000,None,199581000000,-22713000000,133075000000,9136000000,5108300000
2015-12-31,USD,1787632000000,298836000000,19111000000,19111000000,1425000000,12367000000,2169410000000,8704000000,None,13723000000,13723000000,25529000000,None,1004814000000,267358000000,954085000000,None,1593741000000,66382000000,73365000000,None,None,14580000000,1541947000000,None,199536000000,310984000000,None,214116000000,-14580000000,None,192998000000,-18867000000,120866000000,9136000000,5209800000
2014-12-31,USD,1687155000000,289320000000,19571000000,19571000000,22867000000,12307000000,2034808000000,8743000000,None,13980000000,13980000000,25705000000,None,925251000000,257442000000,897118000000,None,1501893000000,63518000000,86122000000,None,None,12466000000,1446385000000,None,183943000000,266199000000,None,196409000000,51052000000,None,184394000000,-13690000000,107040000000,9136000000,5324400000
2013-12-31,USD,1527015000000,283960000000,19919000000,19919000000,20833000000,38812000000,1640824000000,9156000000,None,16809000000,16809000000,25637000000,None,840406000000,252007000000,809686000000,None,1356007000000,84056000000,69949000000,None,None,17620000000,1286058000000,None,152998000000,None,None,170618000000,-17620000000,None,170142000000,-8104000000,92361000000,9136000000,5371200000
2012-12-31,USD,1422968000000,269483000000,21860000000,21860000000,51282000000,43258000000,24989000000,9428000000,None,12698000000,12698000000,25637000000,None,829663000000,235199000000,251794000000,None,1264057000000,57475000000,76668000000,None,None,22202000000,127367000000,None,127379000000,None,None,149581000000,35273000000,None,157554000000,-6610000000,77679000000,9136000000,5351500000
2011-12-31,USD,1313867000000,255170000000,19440000000,19440000000,54356000000,44352000000,16808000000,11356000000,None,14011000000,14011000000,25115000000,None,None,222613000000,650795000000,None,1172180000000,339721000000,920070000000,None,None,18053000000,125354000000,None,106749000000,None,None,143407000000,-18053000000,None,140241000000,-2744000000,64385000000,8931000000,5323400000
2010-12-31,USD,1258128000000,201792000000,16044000000,16044000000,59062000000,41752000000,16423000000,9644000000,None,15886000000,15886000000,24770000000,None,837422000000,172654000000,724263000000,None,1130239000000,278623000000,69913000000,None,None,17454000000,156983000000,None,156983000000,None,None,174437000000,-17454000000,None,126408000000,-487000000,51918000000,8787000000,5263100000
2009-12-31,USD,1243646000000,214000000000,27080000000,27080000000,47986000000,40721000000,16354000000,10736000000,None,17123000000,17123000000,24812000000,None,None,172710000000,703024000000,None,1129287000000,885720000000,824018000000,None,None,12950000000,40495000000,None,163366000000,None,None,216811000000,-12950000000,None,111786000000,-2450000000,41563000000,8743000000,4562700000
2008-12-31,USD,1309639000000,191161000000,23763000000,23763000000,28509000000,44068000000,16782000000,13520000000,None,16160000000,16160000000,22627000000,None,None,151569000000,799182000000,None,1207323000000,862444000000,781402000000,None,None,45871000000,54056000000,None,213265000000,None,None,313029000000,-45871000000,None,99068000000,-4666000000,36543000000,7273000000,3391300000
2007-12-31,USD,575442000000,108370000000,14757000000,14757000000,28947000000,20662000000,467072000000,7340000000,None,17238000000,17238000000,13106000000,None,None,72951000000,341780000000,None,527814000000,373439000000,344460000000,None,None,30427000000,99393000000,None,80996000000,None,None,129820000000,-30427000000,None,47628000000,-6035000000,38970000000,5788000000,3382800000
2006-12-31,USD,481996000000,73363000000,15028000000,15028000000,34563000000,15706000000,408633000000,7789000000,None,17973000000,17973000000,11275000000,None,None,42629000000,318123000000,None,436182000000,279914000000,310243000000,None,None,1122000000,87145000000,None,72404000000,None,None,88267000000,-1122000000,None,45876000000,-3203000000,35277000000,5788000000,3410100000
2005-12-31,USD,481741000000,29282000000,15397000000,15397000000,41337000000,13885000000,-312000000,7831000000,None,12688000000,12688000000,10787000000,None,None,41834000000,366426000000,None,441081000000,270352000000,314450000000,None,None,3958000000,14000000,None,61235000000,None,None,83626000000,-3958000000,None,40660000000,-3390000000,30580000000,5788000000,3410900000
