fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-12-31,USD,3035000000,None,None,None,None,7558000000,0,None,None,None,None,-21534000000,None,None,None,None,6232000000,6232000000,None,None,None,None,-22288000000,None,None,None,19722000000
2023-12-31,USD,40358000000,None,None,None,None,6271000000,0,None,None,None,None,20494000000,None,None,None,None,5930000000,5930000000,None,None,None,None,-11851000000,None,None,None,19142000000
2022-12-31,USD,27048000000,None,None,None,None,6832000000,0,None,None,None,-42476000000,-59645000000,None,None,None,None,5293000000,5293000000,None,None,None,None,-6033000000,None,-75073000000,None,12882000000
2021-12-31,USD,-11525000000,None,None,None,None,7890000000,0,None,None,None,-7619000000,-11238000000,None,None,None,None,3627000000,3627000000,None,None,None,None,-21139000000,None,-30382000000,None,23238000000
2020-12-31,USD,2051000000,None,None,None,None,8736000000,0,None,None,None,122554000000,-1243000000,None,None,None,None,6142000000,6142000000,None,None,None,None,-7017000000,None,None,None,3586000000
2019-12-31,USD,6730000000,None,None,None,None,6573000000,513000000,None,None,None,-29631000000,-9136000000,None,None,None,None,9589000000,9589000000,None,None,None,None,-26083000000,None,-32037000000,None,19549000000
2018-12-31,USD,36073000000,None,None,None,None,5593000000,5288000000,None,None,None,-7754000000,-70979000000,None,None,None,None,9314000000,9314000000,None,None,None,None,-22783000000,None,-42660000000,None,22393000000
2017-12-31,USD,18619000000,None,None,None,None,5406000000,13809000000,None,0,None,-5164000000,-10920000000,None,None,None,None,9109000000,9109000000,None,None,None,None,-9908000000,None,2638000000,None,22460000000
2016-12-31,USD,1008000000,None,None,None,None,4970000000,32070000000,None,0,None,-122119000000,123568000000,None,None,None,None,9038000000,9038000000,None,None,None,None,-8116000000,None,1618000000,None,21938000000
2015-12-31,USD,14772000000,None,None,None,None,3288000000,135000000,-623000000,-10993000000,None,-107235000000,90871000000,None,None,None,None,8826000000,8826000000,None,None,None,None,-8697000000,None,-460000000,None,22894000000
2014-12-31,USD,17529000000,None,None,None,None,2515000000,91781000000,-372000000,7221000000,None,-128380000000,110503000000,None,None,None,None,8143000000,8143000000,None,None,None,None,-9414000000,None,-348000000,None,23608000000
2013-12-31,USD,57641000000,None,None,None,None,3293000000,11021000000,-13000000,2525000000,None,-153492000000,93910000000,None,None,None,None,6970000000,6970000000,None,None,None,None,-5356000000,None,-1941000000,None,22224000000
2012-12-31,USD,58540000000,None,None,None,None,2807000000,144070000000,293000000,-11186000000,None,-139890000000,83770000000,None,None,None,None,5457000000,5457000000,None,None,None,None,-3918000000,None,2420000000,None,19368000000
2011-12-31,USD,13665000000,None,None,None,None,2208000000,521000000,None,3573000000,None,0,24775000000,None,None,None,None,3381000000,3381000000,None,None,None,None,-2416000000,None,None,None,16211000000
2010-12-31,USD,18772000000,None,None,None,None,1924000000,14939000000,1051000000,4287000000,None,-3675000000,-26133000000,None,None,None,None,1782000000,1782000000,None,None,None,None,-91000000,None,-11036000000,None,12663000000
2009-12-31,USD,28613000000,None,None,None,None,2841000000,68054000000,None,9453000000,None,71785000000,-97081000000,None,None,None,None,4303000000,4303000000,None,None,None,None,-25220000000,None,None,None,12667000000
2008-12-31,USD,-4831000000,None,None,None,None,1669000000,5418000000,None,-1777000000,None,None,32008000000,None,None,None,None,4312000000,4312000000,None,None,None,None,-1623000000,None,None,None,2698000000
2007-12-31,USD,9286000000,None,None,None,None,1532000000,53967000000,None,-253000000,None,None,67966000000,None,None,None,None,3955000000,3955000000,None,None,None,None,-7418000000,None,None,None,8057000000
2006-12-31,USD,27976000000,None,None,None,None,3221000000,8495000000,None,484000000,None,None,-11763000000,None,None,None,None,3641000000,3641000000,None,None,None,None,-1965000000,None,None,None,8420000000
2005-12-31,USD,-11985000000,None,None,None,None,4161000000,0,None,None,None,None,41896000000,None,None,None,None,3375000000,3375000000,None,None,None,None,-3159000000,None,None,None,7671000000
